ARF5	KLC4
KIF22	KLC4
DCTN6	KLC4
HLA-DOA	KLC4
COPB1	KLC4
ACTR10	KLC4
ARF3	KLC4
DYNC1LI2	KLC4
KDELR2	KLC4
DCTN3	KLC4
KIF23	KLC4
KIF11	KLC4
COPE	KLC4
CAPZA1	KLC4
KIF18A	KLC4
ARFGAP3	KLC4
ARCN1	KLC4
KIF3C	KLC4
CENPE	KLC4
KIF2B	KLC4
DYNC1LI1	KLC4
ACTR1B	KLC4
DCTN5	KLC4
ARF4	KLC4
KIF5B	KLC4
ARFGAP1	KLC4
DYNC1I1	KLC4
KIF15	KLC4
COPG1	KLC4
CAPZA3	KLC4
COPB2	KLC4
KDELR1	KLC4
HLA-DQA1	KLC4
DYNC1H1	KLC4
HLA-DRB1	KLC4
KIFAP3	KLC4
DCTN1	KLC4
CAPZA2	KLC4
COPA	KLC4
ACTR1A	KLC4
GBF1	KLC4
KIF2C	KLC4
KIF4A	KLC4
HLA-DMA	KLC4
HLA-DQA2	KLC4
HLA-DQB1	KLC4
HLA-DRB5	KLC4
KIF3B	KLC4
KLC3	KLC4
DYNLL1	KLC4
KIF20A	KLC4
HLA-DRA	KLC4
DYNC1I2	KLC4
KIF2A	KLC4
KIF3A	KLC4
KDELR3	KLC4
KIF4B	KLC4
KIF26A	KLC4
HLA-DOB	KLC4
HLA-DQB2	KLC4
HLA-DPA1	KLC4
HLA-DMB	KLC4
KLC2	KLC4
CAPZB	KLC4
COPG2	KLC4
HLA-DPB1	KLC4
DCTN2	KLC4
KIF5A	KLC4
DCTN4	KLC4
KLC1	KLC4
ARFGAP2	KLC4
ARF1	KLC4
COPZ1	KLC4
DYNLL2	KLC4
COPZ2	KLC4
KIF13B	KLC4
BNIP1	KLC4
KIF1B	KLC4
KIF6	KLC4
KIF27	KLC4
KIFC2	KLC4
KIF1C	KLC4
KIF9	KLC4
KIF21A	KLC4
KIF20B	KLC4
KIF12	KLC4
KIF19	KLC4
KIF16B	KLC4
KIF26B	KLC4
KIF25	KLC4
KIFC1	KLC4
KIF21B	KLC4
KIF1A	KLC4
KIF18B	KLC4
CDC42	KLC4
KIF5C	KLC4
ARF5	KIF23
KIF22	KIF23
DCTN6	KIF23
HLA-DOA	KIF23
COPB1	KIF23
ACTR10	KIF23
ARF3	KIF23
DYNC1LI2	KIF23
KDELR2	KIF23
DCTN3	KIF23
KIF11	KIF23
COPE	KIF23
CAPZA1	KIF23
KIF18A	KIF23
ARFGAP3	KIF23
ARCN1	KIF23
CENPE	KIF23
DYNC1LI1	KIF23
ACTR1B	KIF23
DCTN5	KIF23
ARF4	KIF23
ARFGAP1	KIF23
DYNC1I1	KIF23
KIF15	KIF23
COPG1	KIF23
CAPZA3	KIF23
COPB2	KIF23
KDELR1	KIF23
HLA-DQA1	KIF23
DYNC1H1	KIF23
HLA-DRB1	KIF23
DCTN1	KIF23
